feature_id,label,vertex_index,x,y,group_id,X_warped,Y_warped
1,shoreline,306,463.0,-446.0,,-13582126.817047512,4433970.580724771
1,shoreline,307,462.0,-445.0,,-13582132.697892426,4433972.821517722
1,shoreline,308,447.0,-445.0,,-13582154.069156503,4433974.16518638
1,shoreline,309,446.0,-444.0,,-13582160.151541661,4433976.533626738
1,shoreline,310,443.0,-444.0,,-13582164.142901763,4433976.745811482
1,shoreline,311,442.0,-443.0,,-13582170.263642864,4433979.141225961
1,shoreline,312,441.0,-443.0,,-13582171.555350034,4433979.201527713
1,shoreline,313,440.0,-444.0,,-13582167.974814953,4433976.906700788
1,shoreline,314,435.0,-444.0,,-13582173.951577326,4433977.034796369
1,shoreline,315,434.0,-443.0,,-13582180.003411172,4433979.418803502
1,shoreline,316,431.0,-443.0,,-13582183.269184152,4433979.384756994
1,shoreline,317,430.0,-442.0,,-13582189.297488665,4433981.768205286
1,shoreline,318,427.0,-442.0,,-13582192.268662876,4433981.6277458165
1,shoreline,319,426.0,-441.0,,-13582198.252113653,4433984.001118976
1,shoreline,320,423.0,-441.0,,-13582200.89375844,4433983.737939169
1,shoreline,321,422.0,-440.0,,-13582206.811629359,4433986.0919522615
1,shoreline,322,419.0,-440.0,,-13582209.093944984,4433985.691956741
1,shoreline,323,418.0,-439.0,,-13582214.92659739,4433988.0177748455
1,shoreline,324,414.0,-439.0,,-13582217.393113226,4433987.260715686
1,shoreline,325,413.0,-438.0,,-13582223.087107154,4433989.536646829
1,shoreline,326,411.0,-438.0,,-13582224.05211489,4433989.052798583
1,shoreline,327,410.0,-437.0,,-13582229.661822919,4433991.2984324
1,shoreline,328,405.0,-437.0,,-13582231.30323742,4433989.782377827
1,shoreline,329,404.0,-436.0,,-13582236.69784249,4433991.945688319
1,shoreline,330,402.0,-436.0,,-13582237.043049613,4433991.214476706
1,shoreline,331,401.0,-435.0,,-13582242.331328996,4433993.337292712
1,shoreline,332,397.0,-435.0,,-13582242.46981995,4433991.652067213
1,shoreline,333,396.0,-434.0,,-13582247.558857502,4433993.6967302915
1,shoreline,334,386.0,-434.0,,-13582245.411589323,4433988.464677009
1,shoreline,335,385.0,-433.0,,-13582250.036823975,4433990.323066485
1,shoreline,336,377.0,-433.0,,-13582246.173933253,4433985.248945836
1,shoreline,337,376.0,-432.0,,-13582250.43636281,4433986.959927872
1,shoreline,338,367.0,-432.0,,-13582244.305240627,4433980.496812612
1,shoreline,339,366.0,-431.0,,-13582248.201039571,4433982.057069284
1,shoreline,340,360.0,-431.0,,-13582243.339206193,4433977.410736564
1,shoreline,341,359.0,-430.0,,-13582247.009360401,4433978.8773516305
1,shoreline,342,352.0,-430.0,,-13582240.846060319,4433973.227993906
1,shoreline,343,351.0,-429.0,,-13582244.296681793,4433974.602184613
1,shoreline,344,332.0,-429.0,,-13582228.065670568,4433959.273890861
1,shoreline,345,331.0,-428.0,,-13582231.196602937,4433960.505070109
1,shoreline,346,288.0,-428.0,,-13582232.045525583,4433939.345696603
1,shoreline,347,287.0,-427.0,,-13582236.252524586,4433940.944640339
1,shoreline,348,286.0,-428.0,,-13582234.0640958,4433939.096081894
1,shoreline,349,235.0,-428.0,,-13582305.068238793,4433940.496180415
1,shoreline,350,234.0,-427.0,,-13582309.71859202,4433942.261801011
1,shoreline,351,198.0,-427.0,,-13582347.383784506,4433939.507793154
1,shoreline,352,197.0,-426.0,,-13582351.72725921,4433941.1633647615
1,shoreline,353,171.0,-426.0,,-13582376.142100168,4433938.369721037
1,shoreline,354,170.0,-425.0,,-13582380.380452339,4433939.9849244915
1,shoreline,355,159.0,-425.0,,-13582390.33906555,4433938.7045203755
1,shoreline,356,158.0,-424.0,,-13582394.539803924,4433940.304940577
1,shoreline,357,141.0,-424.0,,-13582409.603431188,4433938.241044316
1,shoreline,358,140.0,-423.0,,-13582413.752991984,4433939.82081804
1,shoreline,359,123.0,-423.0,,-13582428.503538292,4433937.678503614
1,shoreline,360,122.0,-422.0,,-13582432.606609618,4433939.239193441
1,shoreline,361,114.0,-422.0,,-13582439.451252647,4433938.20622926
1,shoreline,362,113.0,-421.0,,-13582443.532890823,4433939.758122165
1,shoreline,363,110.0,-421.0,,-13582446.081066912,4433939.365341603
1,shoreline,364,109.0,-422.0,,-13582443.707067456,4433937.556014836
1,shoreline,365,106.0,-422.0,,-13582446.25282118,4433937.164281233
1,shoreline,366,105.0,-421.0,,-13582450.315236874,4433938.708081353
1,shoreline,367,93.0,-421.0,,-13582460.415894646,4433937.118135774
1,shoreline,368,92.0,-420.0,,-13582464.44913826,4433938.649751614
1,shoreline,369,90.0,-420.0,,-13582466.120113295,4433938.381229788
1,shoreline,370,89.0,-421.0,,-13582463.76467634,4433936.584474721
1,shoreline,371,84.0,-421.0,,-13582467.938637977,4433935.914961656
1,shoreline,372,83.0,-420.0,,-13582471.95185723,4433937.438065869
1,shoreline,373,81.0,-420.0,,-13582473.613441736,4433937.167664122
1,shoreline,374,80.0,-421.0,,-13582471.268511554,4433935.377466081
1,shoreline,375,74.0,-421.0,,-13582476.24839114,4433934.56819189
1,shoreline,376,73.0,-420.0,,-13582480.240062976,4433936.082108068
1,shoreline,377,71.0,-420.0,,-13582481.891928067,4433935.809758405
1,shoreline,378,70.0,-421.0,,-13582479.55868045,4433934.026717348
1,shoreline,379,61.0,-421.0,,-13582486.979834346,4433932.80288882
1,shoreline,380,60.0,-420.0,,-13582490.944522887,4433934.305260079
